_id,ADDRESS_POINT_ID,ADDRESS_POINT_ID_LINK,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,GENERAL_USE,CENTRELINE_ID,CENTRELINE_SIDE,CENTRELINE_MEASURE,ADDRESS_CLASS_DESC,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,BUILDING_NAME,CLIENT_ADDRESS,TYPE_INSTALL,YEAR_INSTALL,SIZE_INSTALL,UNIT_MAX_POWER,ENERGY_OUTPUT,UNIT_ANNUAL,LANDLORD,SYSTEM_OWNERSHIP,FORMER_MUNICIPALITY,CLIENT_ADDR_POINT_ID,OBJECTID,geometry
1,20006001,NA,9,Hanna Ave,9 Hanna Ave,M6K 1W8,former Toronto,Toronto,Spadina-Fort York (10 ),NA,113001,Industrial Location,1147118,R,-47.66,Land,9,NA,NA,NA,3602,NA,NA,NA,NA,1,Traffic Services and Garage,9 Hanna Ave,FIT 1,"Mar 31, 2010",50,NA,NA,NA,NA,NA,NA,20006001,1,"c(-79.417220801414, 43.6376228367342)"
2,4257357,NA,850,Coxwell Ave,850 Coxwell Ave,M4C 5R1,East York,Toronto,Toronto-Danforth (14 ),East York Civic Centre,104001,Municipal City Hall,4257358,L,71.8,Land,850,NA,NA,NA,71,NA,NA,NA,NA,2,East York Civic Centre PV System,850 Coxwell Avenue,FIT 1,"Feb 8, 2012",30,NA,NA,NA,NA,NA,NA,4257357,2,"c(-79.3278994155093, 43.6909791267225)"
3,7985900,NA,462,Runnymede Rd,462 Runnymede Rd,M6S 2Z3,former Toronto,Toronto,Parkdale-High Park (4 ),Fire Station 424,103002,Fire Station,7985886,L,22,Land,462,NA,NA,NA,866,NA,NA,NA,NA,3,Firehall 424,462 Runnymede Rd,MircoFIT,"Dec 23, 2010",1.2,NA,NA,NA,NA,NA,NA,7985900,3,"c(-79.4796294010287, 43.6583545553016)"
4,14069050,NA,339,Queens Quay W,339 Queens Quay W,M5V 1A2,former Toronto,Toronto,Spadina-Fort York (10 ),"Hto Park,Maple Leaf Quay",103005,Fire/Ambulance Stations,10223459,L,195.2,Land,339,NA,NA,NA,4244,NA,NA,NA,NA,4,Firehall 334,339 Queens Quay West,MircoFIT,"Jul 12, 2010",3.2,NA,NA,NA,NA,NA,NA,14069050,4,"c(-79.388613016358, 43.6376903109341)"
5,7348693,NA,31,Drummond St,31 Drummond St,M8V 1Y7,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),Mimico Arena - Building Grounds,106005,Sport Complex,7348685,L,154.04,Land,31,NA,NA,NA,1486,NA,NA,NA,NA,5,Mimico Arena,31 Drummond Street,FIT 1,"Feb 27, 2013",62,NA,NA,NA,NA,NA,NA,7348693,5,"c(-79.4988290901752, 43.6123933210181)"
6,987966,NA,70,Birmingham St,70 Birmingham St,M8V 3W6,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),NA,113001,Industrial Location,914305,R,104.81,Land,70,NA,NA,NA,1181,NA,NA,NA,NA,6,Police College - Shooting Range Phase I,70 Birmingham Street,FIT 1,"Mar 26, 2013",216,NA,NA,NA,NA,NA,NA,987966,6,"c(-79.5034791058314, 43.6050756358877)"
7,482523,NA,45,Ancaster Rd,45 Ancaster Rd,M3K 1S7,North York,Toronto,York Centre (6 ),NA,104008,Other Office Building,30093012,R,33.74,Land,45,NA,NA,NA,4795,NA,NA,NA,NA,86,Ancaster Child Care Centre,45 Ancaster Rd,MicroFIT C,"Aug 1, 2017",10,NA,NA,NA,NA,NA,NA,482523,86,"c(-79.4660111463244, 43.7330258269539)"
8,7369114,NA,23,Grandravine Dr,23 Grandravine Dr,M3J 1B3,North York,Toronto,York Centre (6 ),Grandravine Park,106007,Community/Assembly Hall,7369138,L,2.05,Land,23,NA,NA,NA,5733,NA,NA,NA,NA,7,Grandravine CC & Arena,23 Grandravine Drive,FIT 1,"Mar 27, 2013",90,NA,NA,NA,NA,NA,NA,7369114,7,"c(-79.4897156157261, 43.7517531447405)"
9,12623513,NA,1300,Sheppard Ave W,1300 Sheppard Ave W,M3K 2A6,North York,Toronto,York Centre (6 ),NA,115001,Unknown,12623514,R,235.97,Land,1300,NA,NA,NA,6699,NA,NA,NA,NA,84,North York Animal Centre,1300 Sheppard Ave W,MicroFIT C,"June 19, 2017",10,NA,NA,NA,NA,NA,NA,12623513,84,"c(-79.4828147093058, 43.7532039209859)"
10,7583388,NA,600,Roding St,600 Roding St,M3M 2A5,North York,Toronto,York Centre (6 ),Roding Park,106007,Community/Assembly Hall,30037267,L,27.45,Land,600,NA,NA,NA,6573,NA,NA,NA,NA,8,Roding CC & Arena,600 Roding Street,FIT 1,"Mar 22, 2013",75,NA,NA,NA,NA,NA,NA,7583388,8,"c(-79.4925005879096, 43.7290920275721)"
11,522461,NA,45,Goulding Ave,45 Goulding Ave,M2M 1K8,North York,Toronto,Willowdale (18 ),Goulding Community Centre,106007,Community/Assembly Hall,436936,L,80.04,Land,45,NA,NA,NA,5727,NA,NA,NA,NA,9,Goulding Park Cc & Arena,45 Goulding Ave,FIT 1,"Mar 3, 2013",75,NA,NA,NA,NA,NA,NA,522461,9,"c(-79.4221400423368, 43.7909032845046)"
12,20015342,NA,2539,Bayview Ave,2539 Bayview Ave,M2L 1B1,North York,Toronto,Don Valley West (15 ),NA,106005,Sport Complex,30100673,R,33.23,Land,2539,NA,NA,NA,24,NA,NA,NA,NA,10,York Mills Arena,2539 Bayview Ave,FIT 1,"Feb 27, 2013",75,NA,NA,NA,NA,NA,NA,20015342,10,"c(-79.383508508669, 43.7475982824404)"
13,6682366,NA,190,Bermondsey Rd,190 Bermondsey Rd,M4A 1Y1,North York,Toronto,Don Valley East (16 ),Victoria Village Arena - Building Grounds,106005,Sport Complex,6682365,L,14.4,Land,190,NA,NA,NA,31,NA,NA,NA,NA,11,Victoria Village Arena,190 Bermondsey Road,FIT 1,"Mar 1, 2013",90,NA,NA,NA,NA,NA,NA,6682366,11,"c(-79.3157901802586, 43.7230899615605)"
14,6436448,NA,2231,Lawrence Ave E,2231 Lawrence Ave E,M1P 2P5,Scarborough,Toronto,Scarborough Centre (21 ),McGregor Park,106007,Community/Assembly Hall,6436449,R,-55.56,Land,2231,NA,NA,NA,3828,NA,NA,NA,NA,12,McGregor Arena,2231 Lawrence Ave E,FIT 1,"Feb 27, 2013",94,NA,NA,NA,NA,NA,NA,6436448,12,"c(-79.2801490008504, 43.7476285889232)"
15,337821,NA,31,Glen Watford Dr,31 Glen Watford Dr,M1S 2B7,Scarborough,Toronto,Scarborough North (23 ),Agincourt Community Centre,106007,Community/Assembly Hall,106386,R,56.17,Land,31,NA,NA,NA,7984,NA,NA,NA,NA,13,Agincourt Park Arena,31 Glen Watford Drive,FIT 1,"Feb 20, 2013",48,NA,NA,NA,NA,NA,NA,337821,13,"c(-79.2762899266959, 43.7884058264924)"
16,384412,NA,30,Sewell's Rd,30 Sewell's Rd,M1B 3G5,Scarborough,Toronto,Scarborough-Rouge Park (25 ),Malvern Recreation Centre,106007,Community/Assembly Hall,30013273,L,115.58,Land,30,NA,NA,NA,8919,NA,NA,NA,NA,14,Malvern CC,30 Sewells Road,FIT 1,"Jun 14, 2011",210,NA,NA,NA,NA,NA,NA,384412,14,"c(-79.2163862372284, 43.8085677057494)"
17,8327662,NA,120,Disco Rd,120 Disco Rd,M9W 1M4,Etobicoke,Toronto,Etobicoke North (1 ),NA,115001,Unknown,908441,R,47.53,Land,120,NA,NA,NA,1465,NA,NA,NA,NA,15,Disco Transfer Station,120 Disco Road,FIT 3,"Mar 3, 2016",100,NA,NA,NA,NA,NA,NA,8327662,15,"c(-79.6024931420654, 43.7006392310588)"
18,996452,NA,150,Disco Rd,150 Disco Rd,M9W 1M4,Etobicoke,Toronto,Etobicoke North (1 ),Disco Yard,104008,Other Office Building,908441,R,534.48,Land,150,NA,NA,NA,1465,NA,NA,NA,NA,16,Disco Yard,150 Disco Road,FIT 3,"Feb 11, 2016",300,NA,NA,NA,NA,NA,NA,996452,16,"c(-79.6070138095422, 43.7012266973807)"
19,6052169,NA,2233,Kipling Ave,2233 Kipling Ave,M9W 4L3,Etobicoke,Toronto,Etobicoke North (1 ),Kipling Acres,101002,Old Age/Retirement Home,6052173,R,86.69,Land,2233,NA,NA,NA,1935,NA,NA,NA,NA,17,Kipling Acres Phase I,2233 Kipling Ave,FIT 3,"Feb 19, 2016",150,NA,NA,NA,NA,NA,NA,6052169,17,"c(-79.5719982499343, 43.7251351200783)"
20,6052169,NA,2233,Kipling Ave,2233 Kipling Ave,M9W 4L3,Etobicoke,Toronto,Etobicoke North (1 ),Kipling Acres,101002,Old Age/Retirement Home,6052173,R,86.69,Land,2233,NA,NA,NA,1935,NA,NA,NA,NA,18,Kipling Acres Phase II,2233 Kipling Ave,FIT 3,Aug 2017,75,NA,NA,NA,NA,NA,NA,6052169,18,"c(-79.5719982499343, 43.7251351200783)"
21,6733579,NA,590,Rathburn Rd,590 Rathburn Rd,M9C 3T3,Etobicoke,Toronto,Etobicoke Centre (2 ),NA,115001,Unknown,30053232,R,8.76,Land,590,NA,NA,NA,2335,NA,NA,NA,NA,19,Etobicoke Olympium,590 Rathburn Road,FIT 3,"Mar 3, 2016",150,NA,NA,NA,NA,NA,NA,6733579,19,"c(-79.5829866161346, 43.6501069850447)"
22,1008751,NA,799,Islington Ave,799 Islington Ave,M8Z 5W8,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),NA,104002,Municipal Other,913885,R,438.15,Land,799,NA,NA,NA,1863,NA,NA,NA,NA,20,Stores Warehouse,799 Islington Avenue,FIT 3,"Feb 19, 2016",150,NA,NA,NA,NA,NA,NA,1008751,20,"c(-79.509861889354, 43.6174881719346)"
23,7204531,13973661,155,Culford Rd,155 Culford Rd,M6M 4K6,North York,Toronto,York South-Weston (5 ),NA,106001,Municipal Park,7204532,R,19.61,Structure Entrance,155,NA,NA,NA,5309,NA,NA,NA,NA,21,Amesbury Park,155 Culford Road,FIT 3,"Feb 4, 2016",130,NA,NA,NA,NA,NA,NA,7204531,21,"c(-79.4871565224513, 43.7059421509892)"
24,7553459,NA,1116,King St W,1116 King St W,M6K 1E6,former Toronto,Toronto,Spadina-Fort York (10 ),NA,104008,Other Office Building,7553372,R,-22.74,Land,1116,NA,NA,NA,3780,NA,NA,NA,NA,22,King Yard,1116 King Street W,FIT 3,"Dec 15, 2015",175,NA,NA,NA,NA,NA,NA,7553459,22,"c(-79.4246710739845, 43.6397968801816)"
25,10759389,NA,66,Sheridan Ave,66 Sheridan Ave,M6K 2G9,former Toronto,Toronto,Davenport (9 ),McCormick Park,106007,Community/Assembly Hall,10759390,L,25.92,Land,66,NA,NA,NA,4394,NA,NA,NA,NA,23,McCormick RC,66 Sheridan Ave,FIT 3,"Feb 11, 2016",175,NA,NA,NA,NA,NA,NA,10759389,23,"c(-79.4334435859317, 43.6473440605335)"
26,536808,NA,6000,Leslie St,6000 Leslie St,M2H 1J9,North York,Toronto,Don Valley North (17 ),Cummer Park Community Centre,106007,Community/Assembly Hall,436461,L,66.59,Land,6000,NA,NA,NA,225,NA,NA,NA,NA,24,Cummer CC,6000 Leslie Street,FIT 3,"Feb 19, 2016",100,NA,NA,NA,NA,NA,NA,536808,24,"c(-79.3712589662871, 43.8000951664138)"
27,30032588,982432,1501,Albion Rd,1501 Albion Rd,M9V 1B2,Etobicoke,Toronto,Etobicoke North (1 ),Albion Arena - Building Grounds,106005,Sport Complex,906946,L,188.46,Structure,1501,NA,NA,NA,1012,NA,NA,NA,NA,25,Albion Arena,1501 Albion Road,FIT 4,"Jan 31, 2018",140,NA,NA,NA,NA,NA,NA,30032588,25,"c(-79.5828153969734, 43.7396511371776)"
28,982432,NA,1485,Albion Rd,1485 Albion Rd,M9V 1B2,Etobicoke,Toronto,Etobicoke North (1 ),NA,106007,Community/Assembly Hall,906946,L,51.98,Land,1485,NA,NA,NA,1012,NA,NA,NA,NA,26,Albion Community Centre & Pool & Fit Centre,1485 Albion Road,FIT 4,"Nov 27, 2017",49.9,NA,NA,NA,NA,NA,NA,982432,26,"c(-79.5811903806507, 43.7392848642146)"
29,982435,NA,1515,Albion Rd,1515 Albion Rd,M9V 1B2,Etobicoke,Toronto,Etobicoke North (1 ),Albion Public Library,107009,Library,906946,L,299.7,Land,1515,NA,NA,NA,1012,NA,NA,NA,NA,27,Albion Library,1515 Albion Road,FIT 4,"June 6, 2018",40,NA,NA,NA,NA,NA,NA,982435,27,"c(-79.5841682141778, 43.7398528744664)"
30,1027289,NA,71,Rexdale Blvd,71 Rexdale Blvd,M9W 1P1,Etobicoke,Toronto,Etobicoke North (1 ),NA,113001,Industrial Location,908025,L,166.85,Land,71,NA,NA,NA,2361,NA,NA,NA,NA,28,71 Rexdale Blvd,71 Rexdale Blvd,FIT 4,"Mar 9, 2018",500,NA,NA,NA,NA,NA,NA,1027289,28,"c(-79.5609599084673, 43.7112112085079)"
31,987966,NA,70,Birmingham St,70 Birmingham St,M8V 3W6,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),NA,113001,Industrial Location,914305,R,104.81,Land,70,NA,NA,NA,1181,NA,NA,NA,NA,29,Toronto Police Services Training Facility & D22 Substation Phase II,70 Birmingham Street,FIT 4,"Feb 2, 2018",200,NA,NA,NA,NA,NA,NA,987966,29,"c(-79.5034791058314, 43.6050756358877)"
32,10364406,NA,2650,Finch Ave W,2650 Finch Ave W,M9M 3A3,North York,Toronto,Humber River-Black Creek (7 ),Gord And Irene Risk Park,106007,Community/Assembly Hall,30000722,R,14.55,Land,2650,NA,NA,NA,1610,NA,NA,NA,NA,30,Gord& Irene Risk Community Centre,2650 Finch Avenue West,FIT 4,"Mar 9, 2018",100,NA,NA,NA,NA,NA,NA,10364406,30,"c(-79.5665453732691, 43.747437033946)"
33,574352,NA,3383,Weston Rd,3383 Weston Rd,M9M 2V9,North York,Toronto,Humber River-Black Creek (7 ),Habitant Park,106005,Sport Complex,30117738,R,24.35,Land,3383,NA,NA,NA,952,NA,NA,NA,NA,31,Habitant Arena,3383 Weston Road,FIT 4,"Mar 21, 2018",120,NA,NA,NA,NA,NA,NA,574352,31,"c(-79.5402428660813, 43.7470188202157)"
34,515966,NA,1026,Finch Ave W,1026 Finch Ave W,M3J 2E1,North York,Toronto,York Centre (6 ),NA,104008,Other Office Building,439183,R,265.72,Land,1026,NA,NA,NA,1610,NA,NA,NA,NA,32,Finch Yard,1026 Finch Avenue West,FIT 4,"Jan 31, 2018",500,NA,NA,NA,NA,NA,NA,515966,32,"c(-79.4706416496476, 43.7694524624562)"
35,6275804,NA,20,Beffort Rd,20 Beffort Rd,M3K 2B1,North York,Toronto,York Centre (6 ),Fire Station 145,103002,Fire Station,6275627,L,65.12,Land,20,NA,NA,NA,9690,NA,NA,NA,NA,87,Fire Hall 145,20 Beffort Rd,MicroFIT C,"April 21, 2017",10,NA,NA,NA,NA,NA,NA,6275804,87,"c(-79.4600322095888, 43.7347555131408)"
36,7204387,NA,101,Ridgetop Rd,101 Ridgetop Rd,M1P 4W9,Scarborough,Toronto,Scarborough Centre (21 ),Birchmount Yard,115001,Unknown,7204388,R,34.72,Land,101,NA,NA,NA,8801,NA,NA,NA,NA,57,Birchmount Park Yard - Maintenance Shop,101 Ridgetop Road,FIT 4,"Feb 2, 2018",49.9,NA,NA,NA,NA,NA,NA,7204387,57,"c(-79.2929070278052, 43.7702776112849)"
37,516002,NA,1785,Finch Ave W,1785 Finch Ave W,M3N 1M6,North York,Toronto,Humber River-Black Creek (7 ),Yorkwoods Library - Building Grounds,107009,Library,30007045,L,189.11,Land,1785,NA,NA,NA,1610,NA,NA,NA,NA,33,York Woods Public Library,1785 Finch Ave West,FIT 4,"Nov 15, 2017",46,NA,NA,NA,NA,NA,NA,516002,33,"c(-79.5073591941676, 43.7589648851874)"
38,14077420,NA,580,Finch Ave W,580 Finch Ave W,M2R 1N7,North York,Toronto,York Centre (6 ),Herbert H. Carnegie Centennial Centre - Building Grounds,106005,Sport Complex,14660984,R,127.06,Land,580,NA,NA,NA,1610,NA,NA,NA,NA,34,Herbert Carnegie North York Centennial Centre,580 Finch Avenue West,FIT 4,"Feb 15, 2018",240,NA,NA,NA,NA,NA,NA,14077420,34,"c(-79.4500519913561, 43.7733566875164)"
39,530365,NA,86,Ingram Dr,86 Ingram Dr,M6M 2L6,North York,Toronto,York South-Weston (5 ),NA,104008,Other Office Building,446546,L,26.45,Land,86,NA,NA,NA,5892,NA,NA,NA,NA,35,Ingram Yard - Office & Storage Bldg,86 Ingram Drive,FIT 4,"Feb 2, 2018",100,NA,NA,NA,NA,NA,NA,530365,35,"c(-79.4693403247524, 43.7013030759975)"
40,10367940,NA,160,Neptune Dr,160 Neptune Dr,M6A 1X4,North York,Toronto,Eglinton-Lawrence (8 ),Baycrest Park,115001,Unknown,10367936,R,430.75,Land,160,NA,NA,NA,6275,NA,NA,NA,NA,36,Baycrest Arena,160 Neptune Drive,FIT 4,"Mar 21, 2018",140,NA,NA,NA,NA,NA,NA,10367940,36,"c(-79.4431287602471, 43.7289108374112)"
41,488880,NA,140,Bentworth Ave,140 Bentworth Ave,M6A 1P7,North York,Toronto,Eglinton-Lawrence (8 ),Bentworth Yard,104008,Other Office Building,444948,R,235.99,Land,140,NA,NA,NA,4938,NA,NA,NA,NA,37,Bentworth Park Yard Administration Building,140 Bentworth Avenue,FIT 4,"Jan 26, 2018",80,NA,NA,NA,NA,NA,NA,488880,37,"c(-79.4655135420031, 43.7208770010676)"
42,10363749,NA,1260,Dufferin St,1260 Dufferin St,M6H 4C3,former Toronto,Toronto,Davenport (9 ),Wallace Emerson Park,106007,Community/Assembly Hall,30074541,L,-23.41,Land,1260,NA,NA,NA,557,NA,NA,NA,NA,38,Wallace Emerson Community Centre & Indoor Pool,1260 Dufferin Street,FIT 4,"Feb 12, 2018",100,NA,NA,NA,NA,NA,NA,10363749,38,"c(-79.4392706076072, 43.6673150084825)"
43,12383210,NA,89,Church Ave,89 Church Ave,M2N 6C9,North York,Toronto,Willowdale (18 ),Mitchell Field Park,106007,Community/Assembly Hall,12383205,R,103.75,Land,89,NA,NA,NA,5197,NA,NA,NA,NA,39,Mitchell Field Community Centre & Arena,89 Church Avenue,FIT 4,"Jan 31, 2018",120,NA,NA,NA,NA,NA,NA,12383210,39,"c(-79.4085371036938, 43.7746444825285)"
44,8406963,NA,3230,Bayview Ave,3230 Bayview Ave,M2M 3R7,North York,Toronto,Willowdale (18 ),Bayview Arena (District Park),106005,Sport Complex,30044441,L,2.07,Land,3230,NA,NA,NA,24,NA,NA,NA,NA,40,Bayview Arena,3230 Bayview Avenue,FIT 4,"Mar 1, 2018",100,NA,NA,NA,NA,NA,NA,8406963,40,"c(-79.393725587555, 43.7879383995908)"
45,523759,NA,165,Grenoble Dr,165 Grenoble Dr,M3C 3E7,North York,Toronto,Don Valley East (16 ),Angela James Arena - Building Grounds,106005,Sport Complex,445548,R,39.74,Land,165,NA,NA,NA,5756,NA,NA,NA,NA,41,Angela James Arena,165 Grenoble Drive,FIT 4,"Mar 1, 2018",100,NA,NA,NA,NA,NA,NA,523759,41,"c(-79.3275985277753, 43.7132061312789)"
46,20275,NA,18,Cranfield Rd,18 Cranfield Rd,M4B 3G7,East York,Toronto,Beaches-East York (19 ),NA,113001,Industrial Location,402,L,127.65,Land,18,NA,NA,NA,76,NA,NA,NA,NA,42,Police Cranfield Garage,18 Cranfield Road,FIT 4,"Aug 1, 2017",150,NA,NA,NA,NA,NA,NA,20275,42,"c(-79.3139855285419, 43.710461717869)"
47,6427686,NA,888,Cosburn Ave,888 Cosburn Ave,M4C 2W6,East York,Toronto,Beaches-East York (19 ),Stan Wadlow Park,106001,Municipal Park,6427641,L,48.22,Land,888,NA,NA,NA,70,NA,NA,NA,NA,43,Stan Wadlow Park - East York Memorial Arena,888 Cosburn Avenue,FIT 4,"Jan 29, 2018",130,NA,NA,NA,NA,NA,NA,6427686,43,"c(-79.3152902099295, 43.6974227872025)"
48,8211750,NA,89,Northline Rd,89 Northline Rd,M4B 3G1,East York,Toronto,Beaches-East York (19 ),NA,115001,Unknown,14676230,R,148.21,Land,89,NA,NA,NA,270,NA,NA,NA,NA,44,Elections Building,89 Northline Road,FIT 4,"Jan 26, 2018",140,NA,NA,NA,NA,NA,NA,8211750,44,"c(-79.3070054953526, 43.7157135064124)"
49,6294641,NA,175,Main St,175 Main St,M4E 2W2,former Toronto,Toronto,Beaches-East York (19 ),East Toronto Athletic Field,106001,Municipal Park,14673384,R,55.67,Land,175,NA,NA,NA,234,NA,NA,NA,NA,45,Ted Reeve Community Arena,175 Main Street,FIT 4,"Jan 31, 2018",130,NA,NA,NA,NA,NA,NA,6294641,45,"c(-79.299272767922, 43.6846020353579)"
50,9950386,NA,2975,Don Mills Rd W,2975 Don Mills Rd W,M2J 3B7,North York,Toronto,Don Valley North (17 ),Oriole Community Resource Centre,106007,Community/Assembly Hall,9950387,R,279.79,Land,2975,NA,NA,NA,5399,NA,NA,NA,NA,46,Oriole Park Community Centre & Arena,2975 Don Mills Road West,FIT 4,"Jan 29, 2018",220,NA,NA,NA,NA,NA,NA,9950386,46,"c(-79.3512777208514, 43.7818008978342)"
